"Product Code","Product Name",Variant,Expected,Counted
111111,"Watermelon WS",,50.0000,
222222,"Yellow Watermelon WS",,30.0000,
E001,Eggs,,12.0000,
FFR01,Grapefruit,,10.0000,
FFR02,Kiwi,,8.0000,
FFR03,Lemon,,8.0000,
FFR04,Lime,,10.0000,
FFR05,Strawberry,,10.0000,
FFR06,Watermelon,,50.0000,
FFR07,"Yellow Watermelon",,30.0000,
GT01,GTest,,60.0000,
IT01,"Canon 1100d",,6.0000,
IT02,"Computer Set 1",,6.0000,
IT03,"Computer Set 2",,5.0000,
IT04,"Hard Disk",1TB,15.0000,
IT04,"Hard Disk",500GB,15.0000,
IT05,Keyboard,Black,5.0000,
IT05,Keyboard,White,5.0000,
IT06,Mouse,Black,8.0000,
IT06,Mouse,Blue,9.0000,
IT06,Mouse,Red,9.0000,
IT07,Laptop,,10.0000,
IT08,RAM,2GB,15.0000,
IT08,RAM,4GB,15.0000,
TOY01,"Minion Bananas",,8.0000,
TOY02,"Minion Big",,10.0000,
TOY03,"Minion Crazy",,10.0000,
TOY04,"Minion Hello",,10.0000,
TOY05,"Minion Reading",,10.0000,
TOY06,"Minion Shy",,10.0000,
TOY07,"Minion Amazed",,10.0000,
